2026-02-25 13:15:03.990 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #2 extraite: A VENDRE – Appartement S+1 Hau...
2026-02-25 13:15:04.756 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #3 extraite: A VENDRE – Appartement S+1 Hau...
2026-02-25 13:15:05.388 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #4 extraite: A vendre Local Commercial de 8...
2026-02-25 13:15:06.030 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #5 extraite: A VENDRE – Appartement S+3 Hau...
2026-02-25 13:15:06.675 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #6 extraite: A vendre Local Commercial de 1...
2026-02-25 13:15:07.613 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #7 extraite: S +3 Situé Au 1er étage...
2026-02-25 13:15:08.214 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #8 extraite: S +3 Rez De Chaussée Avec Jard...
2026-02-25 13:15:09.055 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #9 extraite: S +1 Situé Au Premier étage...
2026-02-25 13:15:10.041 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #10 extraite: S +2 au 4 éme étage...
2026-02-25 13:15:10.901 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #11 extraite: S +3 Situé Au 3ème étage Avec ...
2026-02-25 13:15:11.597 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #12 extraite: S+1 Situé Au 3ème étage...
2026-02-25 13:15:12.596 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #13 extraite: Un Très Spacieux S + 4 Avec Ja...
2026-02-25 13:15:13.462 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #14 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:15:14.179 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #15 extraite: 🏡 À vendre – Appartement S+2 a...
2026-02-25 13:15:14.853 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #16 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:15:15.751 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #17 extraite: 🏡 À vendre – Appartement S+3 a...
2026-02-25 13:15:17.013 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #18 extraite: 🏡 À vendre – Appartement S+3 a...
2026-02-25 13:15:17.745 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #19 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:15:18.392 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #20 extraite: 🏡 À vendre – Appartement S+4 a...
