source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,terrain_viabilise,constructible,dimensions_terrain,facade,acces_route,acces_electricite,acces_eau,vocation
diarkoum,https://diarkoum.tn/details.php?id_annonce=14248,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14247,Terrain,60000,2024-08-07,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14242,Terrain,60000,2024-08-05,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14240,Terrain,60000,2024-08-05,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14238,Terrain,60000,2024-08-05,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14235,Terrain,60000,2024-08-05,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14232,Terrain,60000,2024-08-05,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14231,Terrain,60000,2024-08-05,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14230,Terrain,60000,2024-08-05,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14229,Terrain,60000,2024-08-04,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14228,Terrain,60000,2024-08-04,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14226,Terrain,60000,2024-08-04,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
