source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,jardin,etage,ascenseur,syndic,climatisation
afariat,https://afariat.com/annonce-%C3%A0-tunis/Immobilier/appartement-s-3-laouina-690b7c54d7752.html,Appartement,380000,2025-11-05,Tunis,La Marsa,L'aouina,2070,107,Non,Non,Neuf,Haut standing,3,,Non,Oui,Oui,Non,Oui,Oui,2,Non,Non,Oui
afariat,https://afariat.com/annonce-%C3%A0-nabeul/Immobilier/appartement-s-2-la-queen-691d7d59b6e0d.html,Appartement,350000,2025-11-19,Nabeul,Hammamet,Hammamet,8050,100,Non,Non,Neuf,Haut standing,2,,Non,Oui,Oui,Non,Oui,Oui,3,Non,Non,Oui
afariat,https://afariat.com/annonce-%C3%A0-ben-arous/Immobilier/appartement-le-feu-vert-68e8ede81788f.html,Appartement,255000,2025-10-10,Ben Arous,Radès,Chouchet Rades,2040,81,Non,Non,Neuf,Luxe,2,1,Non,Oui,Oui,Non,Oui,Oui,3,Oui,Non,Oui
afariat,https://afariat.com/annonce-%C3%A0-ariana/Immobilier/appartement-maria-s-3-690f48c34a8a9.html,Appartement,400000,2025-11-08,Ariana,Ariana Ville,el nasr 2,2080,136,Non,Non,Neuf,Haut standing,3,2,Oui,Oui,Oui,Non,Non,Oui,3,Oui,Non,Non
