source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,terrasse,jardin,niveau,climatisation
diarkoum,https://diarkoum.tn/details.php?id_annonce=9860,Maison/Villa,600000,2023-04-11,Nabeul,Dar Chaabane El Fehri,Dar Chaabane El Fehri,8000,256,Non,Non,Neuf,Non précisé,4,2,Non,Non,Oui,Non,Non,Non,Non,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=7145,Maison/Villa,1,2023-04-10,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,177,Titre Bleu,Non,Neuf,Haut standing,3,2,Oui,Non,Non,Oui,Non,Non,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=5845,Maison/Villa,420000,2023-04-10,Médenine,Djerba - Midoun,Djerba - Midoun,4180,143,Non,Non,Neuf,Moyen standing,3,2,Oui,Non,Non,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=6826,Maison/Villa,1200000,2023-04-10,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,415,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Non,Oui,Non,3,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9853,Maison/Villa,150000,2023-04-06,Bizerte,Ras Jebel,Ras Jebel,7000,150000,Non,Non,Neuf,Non précisé,4,2,Non,Non,Non,Non,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9851,Maison/Villa,250000,2023-04-06,Bizerte,Ras Jebel,Ras Jebel,7000,150,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9829,Maison/Villa,210000,2023-04-06,Bizerte,Ras Jebel,Ras Jebel,7000,150,Oui,Non,Neuf,Non précisé,4,1,Non,Non,Non,Non,Non,Non,Oui,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9849,Maison/Villa,830000,2023-04-06,Bizerte,Ras Jebel,Ras Jebel,7000,846,Oui,Non,Neuf,Moyen standing,3,3,Oui,Non,Non,Oui,Non,Oui,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9186,Maison/Villa,300000,2023-04-05,Nabeul,Dar Chaabane El Fehri,Dar Chaabane El Fehri,8000,180,Non,Non,Neuf,Non précisé,6,1,Non,Non,Oui,Non,Non,Non,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=6825,Maison/Villa,580000,2023-04-05,Médenine,Djerba - Midoun,Djerba - Midoun,4180,200,Non,Non,Neuf,Haut standing,3,3,Oui,Non,Non,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9846,Maison/Villa,495000,2023-04-05,Sfax,Sfax Ville,Sfax Ville,3000,730,Non,Non,Neuf,Non précisé,10,3,Non,Non,Oui,Non,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9838,Maison/Villa,700,2023-04-04,Tunis,La Marsa,La Marsa,2070,215,Non,Non,Neuf,Non précisé,5,2,Non,Non,Non,Non,Non,Oui,Non,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9832,Maison/Villa,300000,2023-04-03,Bizerte,Ras Jebel,Ras Jebel,7000,133,Non,Non,Neuf,Non précisé,3,1,Non,Non,Oui,Non,Non,Non,Non,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9831,Maison/Villa,930000,2023-04-03,Bizerte,Ras Jebel,Ras Jebel,7000,1200,Oui,Non,Neuf,Non précisé,5,2,Non,Non,Non,Non,Non,Oui,Oui,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9827,Maison/Villa,55000,2023-04-03,Bizerte,Ras Jebel,Ras Jebel,7000,65,Non,Non,Neuf,Non précisé,1,1,Non,Non,Non,Non,Non,Oui,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9824,Maison/Villa,1180000,2023-04-03,Tunis,El Menzah,El Menzah,1000,450,Oui,Non,Neuf,Non précisé,8,3,Non,Non,Oui,Non,Oui,Oui,Oui,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=5846,Maison/Villa,1,2023-03-30,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,197,Non,Non,Neuf,Non précisé,3,4,Oui,Oui,Non,Oui,Non,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=5850,Maison/Villa,980000,2023-03-29,Médenine,Djerba - Midoun,Djerba - Midoun,4180,350,Titre Bleu,Non,Neuf,Moyen standing,5,4,Oui,Non,Oui,Non,Non,Oui,Non,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9795,Maison/Villa,680000,2023-03-29,Sousse,Akouda,Akouda,4022,450,Non,Non,Neuf,Non précisé,4,3,Oui,Non,Non,Non,Non,Oui,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=5892,Maison/Villa,990000,2023-03-29,Médenine,Djerba - Midoun,Djerba - Midoun,4180,178,Non,Non,Neuf,Moyen standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=5910,Maison/Villa,420000,2023-03-29,Médenine,Djerba - Midoun,Djerba - Midoun,4180,143,Non,Non,Neuf,Moyen standing,3,2,Oui,Non,Non,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=6536,Maison/Villa,650000,2023-03-29,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,200,Non,Non,Neuf,Haut standing,3,4,Oui,Non,Oui,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=6537,Maison/Villa,650000,2023-03-29,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,200,Non,Non,Neuf,Haut standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=7141,Maison/Villa,680000,2023-03-28,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,200,Non,Non,Neuf,Haut standing,3,4,Oui,Non,Non,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=6541,Maison/Villa,1350000,2023-03-28,Médenine,Djerba - Midoun,Djerba - Midoun,4180,400,Non,Non,Neuf,Haut standing,5,5,Oui,Non,Oui,Oui,Oui,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=6542,Maison/Villa,1100000,2023-03-28,Médenine,Djerba - Midoun,Djerba - Midoun,4180,282,Non,Oui,Neuf,Haut standing,3,3,Oui,Non,Non,Oui,Oui,Oui,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=7149,Maison/Villa,350000,2023-03-27,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,120,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Non,Oui,Non,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=6539,Maison/Villa,1200000,2023-03-27,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,415,Non,Non,Neuf,Luxe,4,4,Oui,Non,Non,Oui,Non,Oui,Non,3,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9765,Maison/Villa,750000,2023-03-25,Nabeul,Hammamet,Hammamet,8050,550,Non,Non,Neuf,Luxe,3,2,Oui,Non,Non,Oui,Non,Non,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9747,Maison/Villa,210,2023-03-22,Nabeul,Hammamet,Hammamet,8050,130,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9743,Maison/Villa,1450000,2023-03-21,Nabeul,Hammamet,Hammamet,8050,4400,Non,Non,Neuf,Haut standing,5,4,Oui,Non,Non,Oui,Oui,Non,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9735,Maison/Villa,400000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,440,Titre Bleu,Non,Neuf,Non précisé,3,2,Oui,Non,Non,Non,Non,Non,Oui,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9734,Maison/Villa,395000,2023-03-21,Nabeul,Soliman,Soliman,8020,250,Non,Non,Neuf,Non précisé,5,3,Non,Non,Oui,Oui,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9732,Maison/Villa,1600000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,799,Non,Non,Neuf,Haut standing,5,3,Non,Non,Oui,Oui,Non,Non,Oui,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9731,Maison/Villa,500000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,219,Non,Non,Neuf,Moyen standing,4,3,Oui,Non,Non,Oui,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9730,Maison/Villa,370000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,170,Non,Non,Neuf,Non précisé,2,1,Oui,Non,Non,Non,Non,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9728,Maison/Villa,650000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,4000,Non,Non,Neuf,Non précisé,2,,Non,Non,Non,Non,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9721,Maison/Villa,350000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,280,Non,Non,Neuf,Non précisé,3,2,Non,Non,Non,Non,Non,Non,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=6719,Maison/Villa,780000,2023-03-21,Nabeul,Hammamet,Hammamet,8050,590,Non,Non,Neuf,Non précisé,4,4,Oui,Non,Non,Oui,Non,Oui,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=8889,Maison/Villa,1,2023-03-21,Nabeul,Hammamet,Hammamet,8050,1020,Non,Non,Neuf,Luxe,5,6,Oui,Non,Oui,Oui,Non,Oui,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9720,Maison/Villa,580000,2023-03-21,Nabeul,Hammamet,Hammamet,8050,166,Non,Non,Neuf,Moyen standing,4,5,Oui,Non,Non,Oui,Non,Oui,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9717,Maison/Villa,295000,2023-03-20,Nabeul,Kélibia,Kélibia,8000,1187,Non,Non,Neuf,Non précisé,4,3,Oui,Non,Non,Oui,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9699,Maison/Villa,350000,2023-03-17,Tunis,Médina,Médina,1000,320,Non,Non,Neuf,Non précisé,6,1,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9692,Maison/Villa,1500000,2023-03-15,Ariana,La Soukra,La Soukra,2036,767,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Oui,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9669,Maison/Villa,380000,2023-03-08,Nabeul,Kélibia,Kélibia,8000,129,Titre Bleu,Non,Neuf,Non précisé,3,2,Oui,Non,Non,Non,Non,Non,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9668,Maison/Villa,380000,2023-03-08,Nabeul,Kélibia,Kélibia,8000,130,Titre Bleu,Non,Neuf,Non précisé,3,2,Oui,Non,Non,Non,Non,Non,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9446,Maison/Villa,130000,2023-03-07,Nabeul,Kélibia,Kélibia,8000,1000,Non,Non,Neuf,Non précisé,,,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9642,Maison/Villa,305000,2023-03-06,Nabeul,Béni Khiar,Béni Khiar,8000,140,Non,Non,Neuf,Haut standing,4,1,Oui,Oui,Non,Oui,Non,Oui,Non,3,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9636,Maison/Villa,1500,2023-03-05,Tunis,Le Bardo,Le Bardo,2000,421,Non,Non,Neuf,Non précisé,5,2,Oui,Non,Oui,Non,Non,Non,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9621,Maison/Villa,590000,2023-03-02,Nabeul,Hammamet,Hammamet,8050,400,Non,Non,Neuf,Non précisé,3,3,Oui,Non,Non,Oui,Non,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9617,Maison/Villa,650,2023-03-02,Sfax,Sakiet Ezzit,Sakiet Ezzit,3000,1169,Non,Non,Neuf,Non précisé,,,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9605,Maison/Villa,400000,2023-03-01,Le Kef,Kef Est,Kef Est,7100,444,Non,Non,Neuf,Non précisé,4,1,Non,Non,Oui,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9604,Maison/Villa,230000,2023-02-28,Nabeul,Kélibia,Kélibia,8000,141,Titre Bleu,Non,Neuf,Haut standing,2,,Non,Non,Non,Non,Non,Non,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9602,Maison/Villa,1600000,2023-02-28,Tunis,Le Bardo,Le Bardo,2000,799,Non,Non,Neuf,Non précisé,6,4,Non,Non,Non,Non,Non,Oui,Non,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9601,Maison/Villa,1300000,2023-02-28,Ariana,Ariana Ville,Ariana Ville,2080,400,Non,Non,Neuf,Haut standing,6,4,Oui,Oui,Oui,Oui,Oui,Non,Oui,4,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9600,Maison/Villa,1800000,2023-02-28,Ariana,Ariana Ville,Ariana Ville,2080,600,Non,Non,Neuf,Non précisé,14,5,Non,Oui,Non,Non,Oui,Non,Oui,4,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9599,Maison/Villa,480000,2023-02-28,Ariana,Raoued,Raoued,2080,501,Non,Non,Neuf,Non précisé,4,1,Non,Non,Non,Non,Non,Non,Non,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9598,Maison/Villa,370000,2023-02-28,Ariana,Raoued,Raoued,2080,220,Titre Individuel,Non,Neuf,Non précisé,4,3,Oui,Non,Oui,Non,Non,Oui,Oui,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9597,Maison/Villa,320000,2023-02-28,Ariana,Ariana Ville,Ariana Ville,2080,300,Non,Non,Neuf,Non précisé,4,3,Non,Non,Oui,Non,Non,Oui,Oui,4,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9590,Maison/Villa,650000,2023-02-28,Ariana,Ariana Ville,Ariana Ville,2080,300,Titre Individuel,Non,Neuf,Moyen standing,4,3,Oui,Non,Non,Oui,Non,Oui,Non,,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9524,Maison/Villa,670000,2023-02-20,Tunis,La Marsa,La Marsa,2070,500,Non,Non,Neuf,Haut standing,3,1,Oui,Non,Oui,Non,Oui,Non,Oui,1,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9454,Maison/Villa,1500000,2023-02-15,Tunis,El Menzah,El Menzah,1000,682,Non,Non,Neuf,Non précisé,8,3,Non,Non,Non,Oui,Non,Non,Oui,4,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9377,Maison/Villa,410000,2023-02-14,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,195,Non,Non,Neuf,Moyen standing,3,2,Oui,Oui,Oui,Oui,Non,Oui,Oui,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9378,Maison/Villa,640000,2023-02-14,Médenine,Djerba - Midoun,Djerba - Midoun,4180,243,Non,Non,Neuf,Haut standing,3,3,Oui,Non,Oui,Oui,Non,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9423,Maison/Villa,480000,2023-02-10,Nabeul,Kélibia,Kélibia,8000,220,Non,Non,Neuf,Non précisé,4,2,Oui,Non,Non,Oui,Non,Oui,Non,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9413,Maison/Villa,750000,2023-02-07,Médenine,Djerba - Houmt Souk,Djerba - Houmt Souk,4180,185,Non,Non,Neuf,Moyen standing,3,4,Oui,Oui,Non,Oui,Non,Oui,Non,1,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9367,Maison/Villa,970000,2023-01-23,Nabeul,Hammamet,Hammamet,8050,384,Non,Oui,Neuf,Haut standing,4,2,Oui,Oui,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9240,Maison/Villa,450000,2023-01-07,Médenine,Djerba - Midoun,Djerba - Midoun,4180,420,Non,Non,Neuf,Moyen standing,3,2,Non,Non,Oui,Oui,Non,Non,Oui,2,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9228,Maison/Villa,940000,2023-01-05,Nabeul,Hammamet,Hammamet,8050,430,Non,Oui,Neuf,Haut standing,4,4,Oui,Non,Oui,Oui,Oui,Oui,Oui,2,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9224,Maison/Villa,700000,2023-01-05,Nabeul,Hammamet,Hammamet,8050,265,Non,Non,Neuf,Non précisé,5,3,Oui,Non,Non,Oui,Non,Oui,Oui,3,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9221,Maison/Villa,850000,2023-01-04,Nabeul,Hammamet,Hammamet,8050,1000,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9214,Maison/Villa,980000,2023-01-04,Nabeul,Hammamet,Hammamet,8050,720,Non,Non,Neuf,Luxe,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9212,Maison/Villa,690000,2023-01-04,Nabeul,Hammamet,Hammamet,8050,304,Non,Non,Neuf,Haut standing,3,3,Oui,Non,Non,Non,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9203,Maison/Villa,920000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,950,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9202,Maison/Villa,950000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,350,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9201,Maison/Villa,980000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,625,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9200,Maison/Villa,850000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,500,Non,Non,Neuf,Haut standing,3,3,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9199,Maison/Villa,940000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,300,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9198,Maison/Villa,920000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,480,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9197,Maison/Villa,790000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,487,Non,Non,Neuf,Haut standing,4,4,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9195,Maison/Villa,450000,2023-01-03,Nabeul,Hammamet,Hammamet,8050,10000,Non,Non,Neuf,Haut standing,3,1,Oui,Non,Non,Oui,Non,Non,Oui,,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9183,Maison/Villa,595000,2022-12-30,Nabeul,Hammamet,Hammamet,8050,595,Non,Non,Neuf,Luxe,4,3,Oui,Non,Non,Oui,Oui,Non,Oui,,Oui
