source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,jardin,etage,ascenseur,syndic,climatisation
diarkoum,https://diarkoum.tn/details.php?id_annonce=10223,Appartement,385000,2023-06-05,Tunis,Le Kram,Le Kram,2015,90,Non,Non,Neuf,Moyen standing,2,1,Non,Oui,Oui,Non,Oui,Oui,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10210,Appartement,550000,2023-06-03,Tunis,La Marsa,La Marsa,2070,0,Non,Non,Neuf,Haut standing,3,1,Oui,Oui,Oui,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10205,Appartement,180000,2023-06-02,Tunis,Ain zaghouan,Ain zaghouan,1100,40,Non,Non,Neuf,Moyen standing,,1,Non,Non,Non,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10204,Appartement,450000,2023-06-02,Ariana,La Soukra,La Soukra,2036,124,Non,Non,Neuf,Haut standing,3,1,Oui,Oui,Oui,Non,Oui,Non,0,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10182,Appartement,275000,2023-06-01,Ariana,Ariana Ville,Ariana Ville,2080,115,Non,Non,Neuf,Moyen standing,2,2,Non,Non,Non,Non,Oui,Non,7,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10177,Appartement,420000,2023-05-31,Ariana,Ariana Ville,Ariana Ville,2080,148,Non,Non,Neuf,Moyen standing,4,1,Non,Non,Oui,Non,Oui,Non,1,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10169,Appartement,448000,2023-05-29,Ariana,La Soukra,La Soukra,2036,370,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Oui,Non,Non,Oui,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10162,Appartement,280000,2023-05-28,Ariana,Ariana Ville,Ariana Ville,2080,118,Non,Non,Neuf,Moyen standing,2,1,Oui,Oui,Oui,Non,Non,Non,5,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10151,Appartement,270000,2023-05-27,Nabeul,Hammamet,Hammamet,8050,100,Non,Non,Neuf,Moyen standing,2,1,Non,Non,Non,Non,Oui,Non,2,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10134,Appartement,250000,2023-05-24,Nabeul,Hammamet,Hammamet,8050,90,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10071,Appartement,120000,2023-05-15,Tunis,El Kabaria,El Kabaria,1000,98,Non,Non,Neuf,Non précisé,2,1,Non,Non,Oui,Non,Non,Non,4,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10024,Appartement,449000,2023-05-13,Sousse,Sousse Jawhara,Sousse Jawhara,4000,160,Non,Non,Neuf,Luxe,3,1,Non,Non,Oui,Non,Non,Non,6,Oui,Oui,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10035,Appartement,270000,2023-05-12,Tunis,El Menzah,El Menzah,1000,125,Non,Non,Neuf,Non précisé,2,1,Oui,Oui,Non,Non,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10031,Appartement,320000,2023-05-12,Ariana,Mnihla,Mnihla,2080,115,Non,Non,Neuf,Haut standing,2,1,Oui,Non,Non,Non,Oui,Oui,1,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=10018,Appartement,420000,2023-05-10,Tunis,La Marsa,La Marsa,2070,130,Non,Non,Neuf,Haut standing,2,2,Oui,Non,Oui,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10017,Appartement,375000,2023-05-10,Tunis,Ain zaghouan,Ain zaghouan,1100,83,Non,Non,Neuf,Haut standing,1,1,Oui,Oui,Oui,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=10016,Appartement,400000,2023-05-10,Ariana,La Soukra,La Soukra,2036,170,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Oui,Non,Oui,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9990,Appartement,450000,2023-05-09,Tunis,La Marsa,La Marsa,2070,165,Non,Non,Neuf,Haut standing,3,2,Oui,Non,Non,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9993,Appartement,210000,2023-05-08,Ariana,La Soukra,La Soukra,2036,52,Non,Non,Neuf,Haut standing,1,1,Oui,Oui,Non,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9994,Appartement,105000,2023-05-08,Tunis,Le Kram,Le Kram,2015,65,Non,Non,Neuf,Haut standing,1,,Oui,Oui,Oui,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9997,Appartement,270000,2023-05-08,Tunis,La Marsa,La Marsa,2070,130,Non,Non,Neuf,Moyen standing,2,1,Non,Non,Oui,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9944,Appartement,220000,2023-05-08,Tunis,Le Bardo,Le Bardo,2000,83,Non,Non,Neuf,Moyen standing,1,1,Non,Non,Non,Non,Oui,Non,4,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9999,Appartement,500000,2023-05-08,Tunis,Ain zaghouan,Ain zaghouan,1100,200,Non,Non,Neuf,Haut standing,2,1,Oui,Non,Oui,Non,Oui,Oui,0,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9992,Appartement,850000,2023-05-05,Tunis,La Marsa,La Marsa,2070,186,Non,Non,Neuf,Haut standing,3,2,Oui,Non,Non,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9989,Appartement,550000,2023-05-05,Ariana,La Soukra,La Soukra,2036,175,Non,Non,Neuf,Moyen standing,3,3,Oui,Oui,Oui,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9991,Appartement,550000,2023-05-05,Tunis,La Marsa,La Marsa,2070,136,Non,Non,Neuf,Non précisé,2,2,Non,Non,Oui,Non,Oui,Oui,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9984,Appartement,220000,2023-05-04,Nabeul,Hammamet,Hammamet,8050,80,Non,Non,Neuf,Moyen standing,1,1,Non,Non,Non,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9962,Appartement,378000,2023-05-03,Ariana,La Soukra,La Soukra,2036,160,Non,Non,Neuf,Haut standing,2,1,Oui,Non,Oui,Non,Oui,Oui,0,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9968,Appartement,499998,2023-05-03,Ariana,La Soukra,La Soukra,2036,169,Non,Non,Neuf,Moyen standing,3,1,Non,Oui,Oui,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9965,Appartement,310000,2023-05-03,Tunis,Le Kram,Le Kram,2015,99,Non,Non,Neuf,Moyen standing,1,,Non,Non,Oui,Non,Oui,Oui,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9964,Appartement,310000,2023-05-02,Ariana,Ariana Ville,Ariana Ville,2080,127,Non,Non,Neuf,Moyen standing,3,1,Non,Non,Oui,Non,Oui,Non,1,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9963,Appartement,419999,2023-05-02,Tunis,La Marsa,La Marsa,2070,99,Non,Non,Neuf,Moyen standing,2,1,Non,Non,Oui,Non,Oui,Oui,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9961,Appartement,680000,2023-05-02,Tunis,La Marsa,La Marsa,2070,156,Non,Non,Neuf,Moyen standing,2,1,Non,Oui,Oui,Non,Oui,Oui,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9959,Appartement,560000,2023-05-02,Tunis,La Marsa,La Marsa,2070,156,Non,Non,Neuf,Haut standing,3,1,Oui,Non,Oui,Non,Non,Oui,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9952,Appartement,750,2023-04-28,Nabeul,Kélibia,Kélibia,8000,130,Non,Non,Neuf,Non précisé,3,1,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9940,Appartement,420000,2023-04-28,Tunis,Cité El Khadra,Cité El Khadra,1000,100,Non,Non,Neuf,Non précisé,3,1,Non,Non,Non,Non,Non,Oui,0,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9934,Appartement,220000,2023-04-27,Ben Arous,El Mourouj,El Mourouj,2074,97,Non,Non,Neuf,Moyen standing,2,1,Non,Oui,Oui,Non,Oui,Non,3,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9933,Appartement,200000,2023-04-27,Ben Arous,El Mourouj,El Mourouj,2074,107,Non,Non,Neuf,Moyen standing,2,1,Non,Non,Non,Non,Oui,Non,2,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9922,Appartement,275000,2023-04-25,Tunis,Ain zaghouan,Ain zaghouan,1100,126,Oui,Non,Neuf,Non précisé,3,1,Non,Oui,Non,Non,Oui,Non,5,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9912,Appartement,100000,2023-04-18,Nabeul,Hammamet,Hammamet,8050,38,Non,Non,Neuf,Non précisé,1,1,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9889,Appartement,340000,2023-04-14,Bizerte,Bizerte Nord,Bizerte Nord,7000,129,Oui,Non,Neuf,Luxe,3,1,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9887,Appartement,105000,2023-04-14,Manouba,Mornaguia,Mornaguia,2010,72,Non,Non,Neuf,Non précisé,3,1,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9882,Appartement,315000,2023-04-14,Ariana,La Soukra,La Soukra,2036,110,Non,Non,Neuf,Moyen standing,2,1,Oui,Oui,Oui,Non,Non,Non,1,Oui,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9869,Appartement,528000,2023-04-12,Sousse,Sousse Médina,Sousse Médina,4000,172,Non,Oui,Neuf,Non précisé,2,1,Oui,Oui,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9868,Appartement,140000,2023-04-12,Sousse,Sousse Médina,Sousse Médina,4000,33,Non,Non,Neuf,Non précisé,,1,Non,Non,Non,Non,Non,Non,5,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9843,Appartement,343000,2023-04-10,Sousse,Sousse Médina,Sousse Médina,4000,93,Non,Non,Neuf,Non précisé,2,1,Oui,Non,Non,Non,Non,Non,4,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9841,Appartement,310000,2023-04-10,Sousse,Sousse Médina,Sousse Médina,4000,138,Non,Non,Neuf,Haut standing,2,1,Oui,Non,Non,Non,Non,Non,0,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9840,Appartement,285000,2023-04-10,Sousse,Sousse Médina,Sousse Médina,4000,70,Non,Oui,Neuf,Non précisé,1,1,Non,Non,Non,Non,Non,Non,6,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9842,Appartement,826000,2023-04-10,Sousse,Sousse Médina,Sousse Médina,4000,287,Non,Oui,Neuf,Non précisé,3,1,Oui,Oui,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9835,Appartement,2023,2023-04-06,Bizerte,Ras Jebel,Ras Jebel,7000,2,Non,Non,Neuf,Non précisé,,,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9830,Appartement,160000,2023-04-03,Bizerte,Ras Jebel,Ras Jebel,7000,50,Oui,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9828,Appartement,170000,2023-04-03,Bizerte,Ras Jebel,Ras Jebel,7000,100,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9821,Appartement,690000,2023-04-03,Tunis,El Menzah,El Menzah,1000,360,Non,Non,Neuf,Haut standing,3,1,Oui,Oui,Oui,Non,Oui,Non,6,Oui,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9791,Appartement,420000,2023-03-29,Sousse,Sousse Médina,Sousse Médina,4000,170,Non,Non,Neuf,Haut standing,3,1,Non,Non,Oui,Oui,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9790,Appartement,472500,2023-03-29,Sousse,Sousse Médina,Sousse Médina,4000,137,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,,Non,Non,Non
