source,url_annonce,type_bien,gouvernorat,delegation,localite,code_postal,prix,surface,date_insertion,nbre_pieces,etage,nbre_chambres,nbre_sdb,ascenseur,parking,meuble,climatisation,chauffage_central,jardin,balcon,standing,syndic,piscine,dressing,vue_mer,titre_foncier,etat
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-21/,Appartement,Nabeul,hammamet,hammamet,8050,225000,89,9 juin 2025,S+1,,1,1,,Oui,,,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-20/,Appartement,Nabeul,hammamet,hammamet,8050,225000,89,9 juin 2025,S+1,,1,1,,Oui,,,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/pour-la-vente-appartement-s2-a-renove-au-rades-choucha-2/,Appartement,Ben Arous,megrine,megrine,2033,150000,,29 mai 2025,S+2,,2,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/pour-la-vente-ezzahra-s3-2/,Appartement,Ben Arous,ezzahra,ezzahra,2034,360000,144,29 mai 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/pour-la-vente-appartement-s4-a-ezzahra/,Appartement,Ben Arous,Ezzahra,Ezzahra,2034,380000,145,29 mai 2025,S+4,,4,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-19/,Appartement,Ben Arous,ezzahra,ezzahra,2034,360000,144,29 mai 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-gammarth-zav1866/,Appartement,Tunis,gammarth,gammarth,1000,450000,,29 mai 2025,S+1,,1,1,,Oui,,Oui,Oui,,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-ain-zaghouan-nord-zav1873/,Appartement,Tunis,Ain Zaghouan nord,Ain Zaghouan nord,1000,265000,,29 mai 2025,S+1,,1,1,,,,Oui,Oui,,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-16/,Appartement,Ben Arous,ezzahra,ezzahra,2034,360000,144,24 mai 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-17/,Appartement,Ben Arous,ezzahra,ezzahra,2034,380000,145,24 mai 2025,S+4,,4,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-18/,Appartement,Ben Arous,rades,rades,2040,150000,,24 mai 2025,S+2,,2,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-15/,Appartement,Nabeul,hammamet,hammamet,8050,225000,89,24 mai 2025,S+1,,1,1,,Oui,,,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-la-kram-mav1617/,Appartement,Tunis,kram,kram,1000,380000,,22 mai 2025,S+2,,2,1,,,,Oui,Oui,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/pour-la-vente-appartement-s2-a-renove-au-rades-choucha/,Appartement,Ben Arous,rades choucha,rades choucha,2013,150000,,22 mai 2025,S+2,,2,,,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s4-a-ezzahra/,Appartement,Ben Arous,Ezzahra,Ezzahra,2034,380000,145,22 mai 2025,S+4,,4,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/pour-la-vente-ezzahra-s3/,Appartement,Ben Arous,Ezzahra,Ezzahra,2034,360000,144,22 mai 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-gammarth-zav1872/,Appartement,Tunis,gammarth,gammarth,1000,650000,,16 mai 2025,S+2,,2,1,,Oui,,Oui,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-ain-zaghouan-nord-mav1870/,Appartement,Tunis,ain zaghouan nord,ain zaghouan nord,1000,485000,,16 mai 2025,S+2,,2,1,,Oui,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-aux-jardins-de-carthage-mav1847/,Appartement,Tunis,jardins de carthage,jardins de carthage,1000,765000,,16 mai 2025,S+3,,3,1,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-aux-jardins-de-carthage-mav1725/,Appartement,Tunis,jardins de carthage,jardins de carthage,1000,572000,,13 mai 2025,S+2,,2,1,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-ain-zaghouan-el-wahat-mav1855/,Appartement,Tunis,,,N/A,300000,,13 mai 2025,S+2,,2,1,,,,,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-avec-jardin-et-piscine-a-la-soukra-mav1556/,Appartement,Ariana,la soukra,la soukra,ariana,850000,,13 mai 2025,S+3,RDC,3,1,,Oui,,Oui,Oui,Oui,,,,Oui,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s4-sousse-khezama-avenue-des-palmiers/,Appartement,Sousse,Avenue des Palmiers Khézama,Avenue des Palmiers Khézama,4000,559000,169,11 mai 2025,S+4,1,4,1,,,,,,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-la-soukra-zav1867/,Appartement,Ariana,la soukra,la soukra,ariana,260000,,9 mai 2025,S+1,,1,1,,Oui,,Oui,Oui,,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-la-soukra-zav1869/,Appartement,Ariana,la soukra,la soukra,ariana,320000,,9 mai 2025,S+1,RDC,1,1,,,,Oui,Oui,Oui,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-hst-8/,Appartement,Ben Arous,ezzahra,ezzahra,2034,360,144,2 mai 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-aux-jardins-de-carthage-mav1861/,Appartement,Tunis,ain zaghwene nord,ain zaghwene nord,1000,480000,,30 avril 2025,S+2,,2,1,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-pres-de-la-mer-a-khair-eddine-mav1742-2/,Appartement,Tunis,la marsa,la marsa,2070,400000,,28 avril 2025,S+2,,2,1,,,,Oui,Oui,,Oui,,,,,Oui,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-aux-jardins-de-carthage-zav1859/,Appartement,Tunis,la marsa,la marsa,2070,750000,,25 avril 2025,S+3,,3,1,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-avec-terrasse-et-piscine-a-gammarth-mav1650/,Appartement,Tunis,la marsa,la marsa,2070,650000,,24 avril 2025,S+1,RDC,1,1,,Oui,,Oui,Oui,,,,,Oui,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s4-a-ain-zaghouan-el-wahat-mav1646-3/,Appartement,Tunis,la marsa,la marsa,2070,430000,,24 avril 2025,S+4,,4,1,,Oui,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-ain-zaghouan-el-wahat-zav1857/,Appartement,Tunis,la marsa,la marsa,2070,250000,,19 avril 2025,S+2,,2,1,,Oui,,Oui,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-laouina-mav1856/,Appartement,Tunis,la marsa,la marsa,2070,320000,,19 avril 2025,S+2,,2,1,,Oui,,Oui,Oui,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-laouina-zav1853/,Appartement,Tunis,la marsa,la marsa,2070,345000,,17 avril 2025,S+3,,3,1,,Oui,,Oui,Oui,,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-soukra-mav1668-2/,Appartement,Tunis,la marsa,la marsa,2070,650000,,14 avril 2025,S+3,,3,1,,,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-ain-zaghouan-nord-zav0060/,Appartement,Tunis,la marsa,la marsa,2070,540000,,14 avril 2025,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-ain-zaghouan-zav1851/,Appartement,Tunis,ain zaghouan,ain zaghouan,1000,520000,,12 avril 2025,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,,Oui,,,
