source,url_annonce,type_bien,gouvernorat,delegation,localite,code_postal,prix,surface,date_insertion,nbre_chambres,nbre_sdb,niveau,piscine,jardin,garage,parking,balcon,climatisation,chauffage_central,dressing,titre_foncier,etat,standing,vue_mer,terrasse
behya.tn,https://www.behya.tn/tunisie-annonces/grande-villa-meublee-a-djerba-midoun-za-ref-v700/,Maison/Villa,Medenine,DJERBA MIDOUN,DJERBA MIDOUN,6115,1025000,1952,17 mars 2025,4,1,,Oui,,Oui,,Oui,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construire-une-villa-avec-piscine-a-djerba-en-tunisie-zu-ref-p695-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,198,17 mars 2025,1,,,Oui,Oui,Oui,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avendre-2/,Maison/Villa,Ben Arous,EZZAHRA,EZZAHRA,2034,1,413,8 mars 2025,2,1,2,,Oui,Oui,,Oui,,,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-de-plain-pied-a-houmt-souk-djerba-zu-ref-v692-4/,Maison/Villa,Medenine,Djerba,Djerba,6100,400000,170,6 mars 2025,2,1,Plain-pied,Oui,,Oui,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/construction-cle-en-main-villa-avec-piscine-zu-djerba-ref-p691-6/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,236,6 mars 2025,,,,Oui,Oui,,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-15/,Maison/Villa,Ben Arous,megrine coteaux,megrine coteaux,2013,1,760,4 mars 2025,2,1,2,,Oui,,,,,,Oui,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-a-la-zone-touristique-mezraya-za-ref-v640-4/,Maison/Villa,Medenine,Djerba,Djerba,6100,950000,496,27 février 2025,1,1,,Oui,Oui,,,,,,Oui,,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-pres-de-la-plage-3/,Maison/Villa,Nabeul,dar allouche,dar allouche,8000,390000,250,27 février 2025,3,,,,,,,,,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-pres-de-la-plage-4/,Maison/Villa,Nabeul,dar allouche,dar allouche,8000,530000,500,27 février 2025,3,2,,,Oui,,,,,,,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-pres-de-la-plage-avec-un-grand-jardin/,Maison/Villa,Sfax,dar allouch,dar allouch,8000,390000,1200,27 février 2025,3,,,,Oui,,,,,,,,,,Oui,
behya.tn,https://www.behya.tn/tunisie-annonces/maison-pres-de-la-plage-2/,Maison/Villa,Nabeul,dar allouch,dar allouch,8000,0,230,27 février 2025,2,,,,,,,,,,,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-villa-en-zone-urbaine-djerba-ref-p694-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,401,27 février 2025,1,,2,Oui,Oui,Oui,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/maison-avec-2-garages-a-vendre-2/,Maison/Villa,Nabeul,kélibia,kélibia,8090,225000,155,27 février 2025,3,,,,,Oui,,,,,,Bleu,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/construction-villa-avec-piscine-cle-en-main-ref-p691/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,236,16 février 2025,,,,Oui,Oui,,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/grande-maison-sur-mezraya-djerba-za-ref-v693-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,1650000,4000,12 février 2025,1,,Plain-pied,Oui,Oui,Oui,,,Oui,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avendre/,Maison/Villa,Ben Arous,ezzahra,ezzahra,2034,1200000000,553,11 février 2025,,,3,,,,,,Oui,Oui,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/construire-une-villa-avec-piscine-a-djerba-en-tunisie-zu-ref-p695-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,198,6 février 2025,1,,,Oui,Oui,Oui,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-10/,Maison/Villa,Ben Arous,ezzahra,ezzahra,2034,3300000,640,6 février 2025,5,1,,Oui,Oui,,,,Oui,Oui,Oui,,,Haut,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/belle-villa-avec-piscine-privee-en-zt-djerba-ref-v623/,Maison/Villa,Medenine,Djerba,Djerba,6100,990000,628,31 janvier 2025,2,,,Oui,Oui,Oui,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-a-la-zone-touristique-mezraya-za-ref-v640-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,950000,496,31 janvier 2025,1,1,,Oui,Oui,,,,,,Oui,,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construire-une-villa-avec-piscine-a-djerba-en-tunisie-zu-ref-p695/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,198,22 janvier 2025,1,,,Oui,Oui,Oui,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-villa-en-zone-urbaine-djerba-ref-p694-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,401,19 janvier 2025,1,,2,Oui,Oui,Oui,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-cle-en-main-villa-avec-piscine-zu-djerba-ref-p691-5/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,236,19 janvier 2025,,,,Oui,Oui,,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/grande-maison-sur-mezraya-djerba-za-ref-v693-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,1650000,4000,13 janvier 2025,1,,Plain-pied,Oui,Oui,Oui,,,Oui,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-villa-en-zone-urbaine-djerba-ref-p694/,Maison/Villa,Medenine,Djerba,Djerba,6100,0,401,21 décembre 2024,1,,2,Oui,Oui,Oui,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-cle-en-main-villa-avec-piscine-zu-djerba-ref-p691-4/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,236,16 décembre 2024,,,,Oui,Oui,,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s6-avec-piscine-a-la-soukra-zvv0404/,Maison/Villa,Ariana,la soukra,la soukra,ariana,1700000,,13 décembre 2024,6,1,,Oui,Oui,,,,Oui,Oui,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-a-la-zone-touristique-mezraya-za-ref-v640-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,950000,496,9 décembre 2024,1,1,,Oui,Oui,,,,,,Oui,,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-de-plain-pied-a-houmt-souk-djerba-zu-ref-v692-3/,Maison/Villa,Medenine,DJERBA,DJERBA,6100,400000,170,9 décembre 2024,2,1,Plain-pied,Oui,,Oui,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-avec-titre-bleu-a-tezdaine-djerba-za-ref-v690-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,780000,423,9 décembre 2024,2,,,Oui,,Oui,,,Oui,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-en-u-et-piscine-privee-a-houmt-souk-djerba-ref-p653-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,0,500,4 décembre 2024,1,1,,Oui,,,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-5/,Maison/Villa,Ben Arous,borj cedria,borj cedria,ben arous,0,600,28 novembre 2024,3,,2,,Oui,Oui,,,,Oui,,,Neuf,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-2/,Maison/Villa,Ben Arous,ezzahra,ezzahra,2034,1200000,553,27 novembre 2024,,,3,,,,,,Oui,Oui,,,,Haut,,
behya.tn,https://www.behya.tn/tunisie-annonces/belle-villa-avec-piscine-en-zone-touristique-djerba-ref-v623-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,990000,628,27 novembre 2024,2,,,Oui,Oui,Oui,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-cle-en-main-villa-avec-piscine-zu-djerba-ref-p691-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,236,24 novembre 2024,,,,Oui,Oui,,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-de-plain-pied-a-houmt-souk-djerba-zu-ref-v692-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,400000,170,18 novembre 2024,2,1,Plain-pied,Oui,,Oui,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-mezraya-djerba-za-ref-v620-4/,Maison/Villa,Medenine,Djerba,Djerba,6100,850000,185,15 novembre 2024,,,,Oui,,,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/grande-maison-sur-mezraya-djerba-za-ref-v693/,Maison/Villa,Medenine,DJERBA,DJERBA,6100,1650000,4000,11 novembre 2024,1,,Plain-pied,Oui,Oui,Oui,,,Oui,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-djerba-aghir-zu-ref-v681-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,958000,625,5 novembre 2024,1,1,,Oui,Oui,Oui,,,Oui,Oui,Oui,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-avec-titre-bleu-a-tezdaine-djerba-za-ref-v690-2/,Maison/Villa,Medenine,DJERBA,DJERBA,6100,780000,423,5 novembre 2024,2,,,Oui,,Oui,,,Oui,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s5-a-gammarth-mvv0355/,Maison/Villa,Tunis,gammarth,gammarth,1000,2800000,,5 novembre 2024,5,1,,,Oui,Oui,,,Oui,Oui,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s5-avec-piscine-a-gammarth-mvv0249/,Maison/Villa,Tunis,gammarth,gammarth,1000,3500000,,1 novembre 2024,5,1,,Oui,Oui,Oui,,,Oui,Oui,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-cle-en-main-villa-avec-piscine-zu-djerba-ref-p691-2/,Maison/Villa,Medenine,DJERBA,DJERBA,6100,1,236,29 octobre 2024,,,,Oui,Oui,,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-en-u-et-piscine-privee-a-houmt-souk-djerba-ref-p653/,Maison/Villa,Medenine,Djerba,Djerba,6100,0,500,24 octobre 2024,1,1,,Oui,,,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-de-plain-pied-a-houmt-souk-djerba-zu-ref-v692/,Maison/Villa,Medenine,Djerba,Djerba,6100,400000,170,18 octobre 2024,2,1,Plain-pied,Oui,,Oui,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/rdch-villa-s2-a-la-soukra-mrcv0015/,Maison/Villa,Ariana,la soukra,la soukra,ariana,345000,,18 octobre 2024,2,1,,,,Oui,,,Oui,Oui,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/construction-cle-en-main-villa-avec-piscine-zu-djerba-ref-p691/,Maison/Villa,Medenine,Djerba,Djerba,6100,0,236,15 octobre 2024,,,,Oui,Oui,,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s8-avec-deux-niveaux-separes-a-la-marsa-mvv0367/,Maison/Villa,Tunis,la marsa,la marsa,2070,1600000,,15 octobre 2024,8,1,,,Oui,Oui,,,Oui,Oui,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-a-la-zone-touristique-mezraya-za-ref-v640/,Maison/Villa,Medenine,Djerba,Djerba,6100,950000,496,9 octobre 2024,1,1,,Oui,Oui,,,,,,Oui,,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-cle-en-main-avec-piscine-a-djerba-tunisie-ref-p652/,Maison/Villa,Medenine,Djerba,Djerba,6100,0,169,6 octobre 2024,2,1,Plain-pied,Oui,,,,,,,Oui,Bleu,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-mezraya-djerba-za-ref-v620-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,850000,185,4 octobre 2024,,,,Oui,,,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/duplex-s3-vue-sur-mer-a-la-goulette-mav1508/,Maison/Villa,Tunis,l aouina,l aouina,1000,650000,,2 octobre 2024,3,1,,,,,,Oui,Oui,Oui,,,,,Oui,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-avec-titre-bleu-a-tezdaine-djerba-za-ref-v690/,Maison/Villa,Medenine,Djerba,Djerba,6100,780000,423,16 septembre 2024,2,,,Oui,,Oui,,,Oui,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s6-a-gammarth-zvv0032/,Maison/Villa,Tunis,gammarth,gammarth,1000,1750000,,15 septembre 2024,6,1,,,Oui,Oui,,Oui,Oui,Oui,,,,,,
