source_site,code_annonce,url_annonce,nature,type_bien,gouvernorat,delegation,localite,code_postal,prix,superficie_m2,date_publication,titre_foncier,etat,standing,nb_chambres,nb_sdb,dressing,balcon,vue_mer,parking,piscine,chauffage_central,climatisation,jardin,terrasse,niveau_maison,etage_appart,ascenseur,syndic,terrain_viabilise,constructible,dimensions_terrain,zone,facade,acces_route,acces_electricite,acces_eau,vocation,metadata
menzili,,https://www.menzili.tn/deposer-une-annonce,Vente,Autre,MÉDENINE,,DJERBA-HOUMT SOUK,,615000000.0,,2026-03-19 00:14:06.490031,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""N/A"", ""location_raw"": ""DJERBA-HOUMT SOUK, MÉDENINE"", ""price_raw"": ""615 000 000 DT"", ""description"": null, ""premium"": true}"
menzili,,https://www.menzili.tn/immo/vente-immobilier-tunisie?page=2#,Vente,Autre,,,,,,,2026-03-19 00:15:20.897227,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""N/A"", ""location_raw"": ""N/A"", ""price_raw"": ""N/A"", ""description"": null, ""premium"": false}"
menzili,,https://www.menzili.tn/,Vente,Autre,,,,,,,2026-03-19 00:15:34.052654,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""N/A"", ""location_raw"": ""N/A"", ""price_raw"": ""N/A"", ""description"": null, ""premium"": false}"
menzili,,https://www.menzili.tn/immo/vente-immobilier-tunisie?page=3#,Vente,Autre,,,,,,,2026-03-19 00:17:11.304123,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""N/A"", ""location_raw"": ""N/A"", ""price_raw"": ""N/A"", ""description"": null, ""premium"": false}"
menzili,,https://www.menzili.tn/blog,Vente,Autre,,,,,,,2026-03-19 00:17:27.561176,,,Standard,,,False,False,False,False,False,False,False,False,False,,,False,False,,,,,False,False,False,False,,"{""title"": ""N/A"", ""location_raw"": ""N/A"", ""price_raw"": ""N/A"", ""description"": null, ""premium"": false}"
