source_site,site_url,title,price_numeric,price_text,property_type,location,city,region,link,publication_date,with_photo,description,metadata
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+2 au 1 er étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s2-au-1-er-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685144018a733cfc286ca595/,2026-02-25 13:16:06.287642,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:06.287642""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+1 au 3 ème étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s1-au-3-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685131e70e1c20e3eb0bdfc9/,2026-02-25 13:16:07.316908,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:07.316908""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+3 au 2 éme étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s3-au-2-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685159800e1c20e3eb0c0adb/,2026-02-25 13:16:08.013624,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:08.013624""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+3 au 4 éme étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s3-au-4-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/68515e430e1c20e3eb0c0fe1/,2026-02-25 13:16:08.650131,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:08.650131""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+1 au 5 ème étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s1-au-5-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/68513fd88a733cfc286ca113/,2026-02-25 13:16:09.422434,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:09.422434""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+4 au 5 éme étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s4-au-5-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685161e30e1c20e3eb0c1474/,2026-02-25 13:16:10.241388,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:10.241388""}"
tayara,https://www.tayara.tn,À vendre – Appartement S+3 au 1er étage | Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s3-au-1er-tage-rsidence-omrane-16-riadh-el-ghazela/697521cdfea36ed612c89d9a/,2026-02-25 13:16:10.987773,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:10.987773""}"
tayara,https://www.tayara.tn,À vendre – Appartement S+2 au RDC | Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s2-au-rdc-rsidence-omrane-16-riadh-el-ghazela/697609defea36ed612c8f245/,2026-02-25 13:16:11.739802,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:11.739802""}"
tayara,https://www.tayara.tn,À vendre – Appartement S+1 au rdc Ref : C0-1| Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s1-au-rdc-ref-c01-rsidence-omrane-16-riadh-el-ghazela/6995e1d28cc6eb8dfec5fefe/,2026-02-25 13:16:12.393372,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:12.393372""}"
tayara,https://www.tayara.tn,Appartement S+3 – 2ᵉ étage | Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/appartement-s3-2-tage-rsidence-omrane-16-riadh-el-ghazela/6975491ad921b01419d2912e/,2026-02-25 13:16:13.373412,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:13.373412""}"
tayara,https://www.tayara.tn,À vendre – Appartement S+3 au1 er étage Ref : C1-3| Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s3-au1-er-tage-ref-c13-rsidence-omrane-16-riadh-el-ghazela/6995e6528cc6eb8dfec6012c/,2026-02-25 13:16:14.361638,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:14.361638""}"
tayara,https://www.tayara.tn,À vendre – Appartement S+1 au rdc Ref : C0-1| Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s1-au-rdc-ref-c01-rsidence-omrane-16-riadh-el-ghazela/6995e7566cd42e2d7b6fa391/,2026-02-25 13:16:15.069856,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:15.069856""}"
tayara,https://www.tayara.tn,Appartement S+3 – 6ᵉ étage | Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/appartement-s3-6-tage-rsidence-omrane-16-riadh-el-ghazela/697602c3fea36ed612c8ede5/,2026-02-25 13:16:15.678318,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:15.678318""}"
tayara,https://www.tayara.tn,Appartement S+3 – 3ᵉ étage | Résidence Omrane 16 – Riadh El Ghazela,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/appartement-s3-3-tage-rsidence-omrane-16-riadh-el-ghazela/69777a69fea36ed612c9babe/,2026-02-25 13:16:16.593971,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:16.593971""}"
tayara,https://www.tayara.tn,À louer | Appartement S+2 à Sahloul 4 – Sousse,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/appartements/sousse/sahloul/-louer-appartement-s2-sahloul-4-sousse/696e277c6026ba3e44d25049/,2026-02-25 13:16:17.379966,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:17.379966""}"
tayara,https://www.tayara.tn,À louer – Appartement S+3 à Kantaoui avec vue dégagée 🌅,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/appartements/sousse/kantaoui/-louer-appartement-s3-kantaoui-avec-vue-dgage-/698ee5066cd42e2d7b6cc991/,2026-02-25 13:16:18.097821,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:16:18.097821""}"
